Design Aprovado,Tarefa,Prioridade,Data final,Status,Prazo
No,tarefa 1,🚨 Urgente e Importante,20/11/2025,A fazer,124 dias atrasado
No,exemplo de tarefa 7,,29/11/2025,A fazer,115 dias atrasado
No,exemplo de tarefa 6,,21/11/2025,A fazer,123 dias atrasado
No,gravar vídeo do post x,,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 3,⚠️ Urgente mas não Importante,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 2,🗓️ Importante mas não Urgente,17/11/2025,A fazer,127 dias atrasado
No,legendar vídeo do post x,,17/11/2025,A fazer,127 dias atrasado
No,editar artes post y,⚠️ Urgente mas não Importante,18/11/2025,A fazer,126 dias atrasado
No,escrever roteiro post y,🚨 Urgente e Importante,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa,🚨 Urgente e Importante,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 5,,18/11/2025,A fazer,126 dias atrasado
No,,,,A fazer,Escolha uma data final!
No,TESTE,🚨 Urgente e Importante,02/12/2025,A fazer,112 dias atrasado
No,"CLIENTE CONFERIR ",📁 Nem Urgente Nem Importante,02/12/2025,Concluída,112 dias atrasado
No,CARROSSEL > TESTE,🚨 Urgente e Importante,02/12/2025,Concluída,112 dias atrasado
No,,,,A fazer,Escolha uma data final!
No,"Copy ",,,A fazer,Escolha uma data final!