Design Aprovado,Tarefa,Prioridade,Início,Data final,Status,Prazo
No,exemplo de tarefa,🚨 Urgente e Importante,17/11/2025,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 2,🗓️ Importante mas não Urgente,17/11/2025,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 3,⚠️ Urgente mas não Importante,17/11/2025,17/11/2025,A fazer,127 dias atrasado
No,tarefa 1,🚨 Urgente e Importante,19/11/2025,20/11/2025,A fazer,124 dias atrasado
No,TESTE,🚨 Urgente e Importante,01/12/2025,02/12/2025,A fazer,112 dias atrasado
No,CARROSSEL > TESTE,🚨 Urgente e Importante,09/12/2025,02/12/2025,Concluída,112 dias atrasado
No,,,10/12/2025,,A fazer,Escolha uma data final!
Yes,Conteúdo x,🚨 Urgente e Importante,05/01/2026 9:00 (BRT),,Concluída,Feito!
No,"Copy ",,02/02/2026,,A fazer,Escolha uma data final!
No,,,04/02/2026,,A fazer,Escolha uma data final!
No,"CLIENTE CONFERIR ",📁 Nem Urgente Nem Importante,,02/12/2025,Concluída,112 dias atrasado
No,exemplo de tarefa 5,,,18/11/2025,A fazer,126 dias atrasado
No,escrever roteiro post y,🚨 Urgente e Importante,,17/11/2025,A fazer,127 dias atrasado
No,editar artes post y,⚠️ Urgente mas não Importante,,18/11/2025,A fazer,126 dias atrasado
No,legendar vídeo do post x,,,17/11/2025,A fazer,127 dias atrasado
Yes,editar vídeo x,,,,Concluída,Feito!
Yes,editar vídeo do post x,,,17/11/2025,Concluída,Feito!
No,gravar vídeo do post x,,,17/11/2025,A fazer,127 dias atrasado
No,exemplo de tarefa 6,,,21/11/2025,A fazer,123 dias atrasado
Yes,exemplo de tarefa 4,,,18/11/2025,Concluída,Feito!
No,exemplo de tarefa 7,,,29/11/2025,A fazer,115 dias atrasado